<49, 8><49, 19>
<49, 10><49, 19>
<49, 8><49, 19>
<49, 10><49, 19>
<49, 8><49, 18>
<49, 10><49, 18>
<49, 8><49, 18>
<49, 10><49, 18>
<49, 8><48, 18>
<49, 10><48, 18>
<49, 8><48, 18>
<49, 10><48, 18>
<49, 8><47, 18>
<49, 10><47, 18>
<49, 8><47, 18>
<49, 10><47, 18>
<49, 8><46, 18>
<49, 10><46, 18>
<49, 8><46, 18>
<49, 10><46, 18>
<49, 8><46, 17>
<49, 10><46, 17>
<2, 17><46, 17>
<9, 17><46, 17>
<16, 17><46, 17>
<23, 17><46, 17>
<49, 8><46, 17>
<49, 10><46, 17>
<49, 8><45, 17>
<49, 10><45, 17>
<2, 17><45, 17>
<9, 17><45, 17>
<16, 17><45, 17>
<23, 17><45, 17>
<49, 8><45, 17>
<49, 10><45, 17>
<49, 8><44, 17>
<49, 10><44, 17>
<2, 17><44, 17>
<9, 17><44, 17>
<16, 17><44, 17>
<23, 17><44, 17>
<49, 8><44, 17>
<49, 10><44, 17>
<49, 8><44, 16>
<49, 10><44, 16>
<2, 16><44, 16>
<3, 16><44, 16>
<2, 17><44, 16>
<9, 16><44, 16>
<10, 16><44, 16>
<9, 17><44, 16>
<16, 16><44, 16>
<17, 16><44, 16>
<16, 17><44, 16>
<23, 16><44, 16>
<24, 16><44, 16>
<23, 17><44, 16>
<49, 8><44, 16>
<49, 10><44, 16>
<49, 8><43, 16>
<49, 10><43, 16>
<2, 16><43, 16>
<3, 16><43, 16>
<2, 17><43, 16>
<9, 16><43, 16>
<10, 16><43, 16>
<9, 17><43, 16>
<16, 16><43, 16>
<17, 16><43, 16>
<16, 17><43, 16>
<23, 16><43, 16>
<24, 16><43, 16>
<23, 17><43, 16>
<49, 8><43, 16>
<49, 10><43, 16>
<49, 8><42, 16>
<49, 10><42, 16>
<2, 16><42, 16>
<3, 16><42, 16>
<2, 17><42, 16>
<9, 16><42, 16>
<10, 16><42, 16>
<9, 17><42, 16>
<16, 16><42, 16>
<17, 16><42, 16>
<16, 17><42, 16>
<23, 16><42, 16>
<24, 16><42, 16>
<23, 17><42, 16>
<49, 8><42, 16>
<49, 10><42, 16>
<49, 8><41, 16>
<41, 8><41, 16>
<49, 10><41, 16>
<41, 10><41, 16>
<2, 16><41, 16>
<3, 16><41, 16>
<2, 17><41, 16>
<9, 16><41, 16>
<10, 16><41, 16>
<9, 17><41, 16>
<16, 16><41, 16>
<17, 16><41, 16>
<16, 17><41, 16>
<23, 16><41, 16>
<24, 16><41, 16>
<23, 17><41, 16>
<49, 8><41, 16>
<41, 8><41, 16>
<49, 10><41, 16>
<41, 10><41, 16>
<40, 7><40, 16>
<49, 8><40, 16>
<40, 8><40, 16>
<41, 8><40, 16>
<40, 9><40, 16>
<49, 10><40, 16>
<40, 10><40, 16>
<41, 10><40, 16>
<40, 11><40, 16>
<2, 16><40, 16>
<3, 16><40, 16>
<2, 17><40, 16>
<9, 16><40, 16>
<10, 16><40, 16>
<9, 17><40, 16>
<16, 16><40, 16>
<17, 16><40, 16>
<16, 17><40, 16>
<23, 16><40, 16>
<24, 16><40, 16>
<23, 17><40, 16>
<40, 7><40, 16>
<49, 8><40, 16>
<40, 8><40, 16>
<41, 8><40, 16>
<40, 9><40, 16>
<49, 10><40, 16>
<40, 10><40, 16>
<41, 10><40, 16>
<40, 11><40, 16>
<40, 7><40, 15>
<49, 8><40, 15>
<40, 8><40, 15>
<41, 8><40, 15>
<40, 9><40, 15>
<49, 10><40, 15>
<40, 10><40, 15>
<41, 10><40, 15>
<40, 11><40, 15>
<2, 15><40, 15>
<2, 16><40, 15>
<3, 16><40, 15>
<2, 17><40, 15>
<9, 15><40, 15>
<9, 16><40, 15>
<10, 16><40, 15>
<9, 17><40, 15>
<16, 15><40, 15>
<16, 16><40, 15>
<17, 16><40, 15>
<16, 17><40, 15>
<23, 15><40, 15>
<23, 16><40, 15>
<24, 16><40, 15>
<23, 17><40, 15>
<40, 7><40, 15>
<49, 8><40, 15>
<40, 8><40, 15>
<41, 8><40, 15>
<40, 9><40, 15>
<49, 10><40, 15>
<40, 10><40, 15>
<41, 10><40, 15>
<40, 11><40, 15>
<40, 7><39, 15>
<49, 8><39, 15>
<40, 8><39, 15>
<41, 8><39, 15>
<40, 9><39, 15>
<49, 10><39, 15>
<40, 10><39, 15>
<41, 10><39, 15>
<40, 11><39, 15>
<2, 15><39, 15>
<2, 16><39, 15>
<3, 16><39, 15>
<2, 17><39, 15>
<9, 15><39, 15>
<9, 16><39, 15>
<10, 16><39, 15>
<9, 17><39, 15>
<16, 15><39, 15>
<16, 16><39, 15>
<17, 16><39, 15>
<16, 17><39, 15>
<23, 15><39, 15>
<23, 16><39, 15>
<24, 16><39, 15>
<23, 17><39, 15>
<40, 7><39, 15>
<49, 8><39, 15>
<40, 8><39, 15>
<41, 8><39, 15>
<40, 9><39, 15>
<49, 10><39, 15>
<40, 10><39, 15>
<41, 10><39, 15>
<40, 11><39, 15>
<40, 7><38, 15>
